,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 2 (750),Class 4 - 1200M - (60-40),GARNET HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.51),(45.23),(1:08.98),23.51,21.72,23.75
0,RACE 3 (751),Group Three - 1400M,THE PREMIER CUP (HANDICAP),"HK$ 3,250,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.60),(36.19),(58.36),13.60,22.59,22.17
0,RACE 4 (752),Class 4 - 1200M - (60-40),GARNET HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.76),(46.38),(1:09.17),23.76,22.62,22.79
0,RACE 5 (753),Class 4 - 1200M - (60-40),GARNET HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.99),(46.49),(1:08.88),23.99,22.50,22.39
0,RACE 6 (754),Class 4 - 2000M - (60-40),OPAL HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(25.27),(49.33),(1:13.78),25.27,24.06,24.45
0,RACE 7 (755),Class 4 - 1600M - (60-40),LAPIS LAZULI HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(24.40),(47.77),(1:11.73),24.40,23.37,23.96
0,RACE 8 (756),Group Three - 1800M,THE PREMIER PLATE (HANDICAP),"HK$ 3,250,000",GOOD TO FIRM,"TURF - ""A"" Course",(14.09),(36.93),(1:00.60),14.09,22.84,23.67
0,RACE 9 (757),Class 3 - 1400M - (80-60),ALEXANDRITE HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.20),(34.81),(58.15),13.20,21.61,23.34
0,RACE 10 (758),Class 3 - 1400M - (80-60),ALEXANDRITE HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.37),(35.09),(58.23),13.37,21.72,23.14
0,RACE 11 (759),Class 3 - 1200M - (80-60),AQUAMARINE HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.60),(45.94),(1:08.79),23.60,22.34,22.85
0,RACE 1 (738),Griffin Race - 1000M,THE CHAIRMEN'S DAY PLATE,"HK$ 850,000",GOOD,"TURF - ""C+3"" Course",(13.54),(34.29),(56.57),13.54,20.75,22.28
0,RACE 2 (739),Class 5 - 1400M - (40-0),RYRIE HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C+3"" Course",(13.60),(34.94),(58.31),13.60,21.34,23.37
0,RACE 3 (740),Class 4 - 1000M - (60-40),THE MACWHINNIE CUP (HANDICAP),"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(13.12),(33.43),(55.20),13.12,20.31,21.77
0,RACE 4 (741),Class 2 - 1600M - (100-80),THE PURVES QUAICH (HANDICAP),"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(24.52),(46.72),(1:09.72),24.52,22.20,23.00
0,RACE 5 (742),Class 4 - 1400M - (60-40),THE SWAINE CUP (HANDICAP),"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.35),(35.21),(58.28),13.35,21.86,23.07
0,RACE 6 (743),Class 4 - 1200M - (60-40),THE WONG CUP (HANDICAP),"HK$ 967,000",WET SLOW,ALL WEATHER TRACK,(23.25),(45.48),(1:09.05),23.25,22.23,23.57
0,RACE 7 (744),Class 3 - 1800M - (80-60),THE LI CUP (HANDICAP),"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.71),(36.13),(1:00.69),13.71,22.42,24.56
0,RACE 8 (745),Class 2 - 1200M - (100-80),THE ARCULLI TROPHY (HANDICAP),"HK$ 2,100,000",WET SLOW,ALL WEATHER TRACK,(23.15),(45.01),(1:07.87),23.15,21.86,22.86
0,RACE 9 (746),Class 4 - 1400M - (60-40),THE CHAN TROPHY (HANDICAP),"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.51),(34.98),(58.13),13.51,21.47,23.15
0,RACE 10 (747),Class 3 - 1200M - (80-60),THE STEVENSON CUP (HANDICAP),"HK$ 1,450,000",WET SLOW,ALL WEATHER TRACK,(22.82),(44.74),(1:08.00),22.82,21.92,23.26
0,RACE 11 (748),Class 3 - 1200M - (80-60),THE IP JUG (HANDICAP),"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.96),(46.39),(1:09.27),23.96,22.43,22.88
0,RACE 1 (729),Class 4 - 1200M - (60-40),RENFREW HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.79),(46.61),(1:09.85),23.79,22.82,23.24
0,RACE 2 (730),Class 4 - 1800M - (60-40),RHONDDA HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.84),(36.80),(1:01.31),13.84,22.96,24.51
0,RACE 3 (731),Class 5 - 1650M - (40-0),SELKIRK HANDICAP,"HK$ 725,000",GOOD TO FIRM,"TURF - ""B"" Course",(27.38),(51.45),(1:16.24),27.38,24.07,24.79
0,RACE 4 (732),Class 3 - 1000M - (80-60),DURHAM HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(12.53),(33.61),(56.80),12.53,21.08,23.19
0,RACE 5 (733),Class 4 - 1200M - (60-40),RENFREW HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.60),(46.42),(1:10.23),23.60,22.82,23.81
0,RACE 6 (734),Class 4 - 1200M - (60-40),RENFREW HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.17),(45.96),(1:09.54),23.17,22.79,23.58
0,RACE 7 (735),Class 3 - 1650M - (80-60),LANCASHIRE HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(28.16),(53.09),(1:16.66),28.16,24.93,23.57
0,RACE 8 (736),Class 3 - 1200M - (80-60),HEREFORD HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.28),(46.06),(1:09.42),23.28,22.78,23.36
0,RACE 9 (737),Class 2 - 1000M - (100-80),ALNWICK HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""B"" Course",(12.39),(33.61),(56.84),12.39,21.22,23.23
0,RACE 1 (710),Class 3 - 2200M - (80-60),OLD BAILEY HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(14.85),(40.70),(1:06.86),14.85,25.85,26.16
0,RACE 2 (711),Class 4 - 1200M - (60-40),STAUNTON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.71),(46.50),(1:10.07),23.71,22.79,23.57
0,RACE 3 (712),Class 4 - 1650M - (60-40),WYNDHAM HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(27.52),(51.03),(1:15.66),27.52,23.51,24.63
0,RACE 4 (713),Class 4 - 1200M - (60-40),STAUNTON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.46),(45.85),(1:09.96),23.46,22.39,24.11
0,RACE 5 (714),Class 4 - 1650M - (60-40),WYNDHAM HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(27.94),(52.11),(1:16.26),27.94,24.17,24.15
0,RACE 6 (715),Class 4 - 1000M - (60-40),SHELLEY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(12.51),(33.76),(56.96),12.51,21.25,23.20
0,RACE 7 (716),Class 2 - 1800M - (100-80),COCHRANE HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A"" Course",(13.62),(36.05),(1:00.89),13.62,22.43,24.84
0,RACE 8 (717),Class 3 - 1650M - (80-60),LYNDHURST HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(27.60),(51.28),(1:15.52),27.60,23.68,24.24
0,RACE 9 (718),Class 3 - 1200M - (80-60),GRAHAM HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.23),(45.59),(1:09.31),23.23,22.36,23.72
0,RACE 1 (690),Class 4 - 1200M - (60-40),SHEARWATER HANDICAP,"HK$ 967,000",WET SLOW,ALL WEATHER TRACK,(23.14),(45.07),(1:08.52),23.14,21.93,23.45
0,RACE 2 (691),Class 5 - 1800M - (40-0),SWAN HANDICAP,"HK$ 725,000",GOOD,ALL WEATHER TRACK,(13.63),(36.11),(59.92),13.63,22.48,23.81
0,RACE 3 (692),Class 4 - 1200M - (60-40),SHEARWATER HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.32),(45.27),(1:08.73),23.32,21.95,23.46
0,RACE 4 (693),Class 2 - 1650M - (100-80),EGRET HANDICAP,"HK$ 2,100,000",GOOD,ALL WEATHER TRACK,(27.94),(50.86),(1:13.98),27.94,22.92,23.12
0,RACE 5 (694),Class 4 - 1200M - (60-40),SHEARWATER HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.01),(44.96),(1:09.03),23.01,21.95,24.07
0,RACE 6 (695),Class 3 - 1200M - (80-60),FLAMINGO HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(23.45),(45.48),(1:09.08),23.45,22.03,23.60
