,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 2 (484),Class 4 - 1200M - (60-40),TAI YUEN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.88),(47.06),(1:10.56),23.88,23.18,23.50
0,RACE 3 (485),Class 4 - 1650M - (60-40),THOMSON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(28.47),(52.87),(1:17.53),28.47,24.40,24.66
0,RACE 4 (486),Class 4 - 1200M - (60-40),TAI YUEN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.85),(46.60),(1:10.46),23.85,22.75,23.86
0,RACE 5 (487),Class 3 - 1200M - (80-60),JOHNSTON HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.40),(45.88),(1:09.58),23.40,22.48,23.70
0,RACE 6 (488),Class 4 - 1650M - (60-40),THOMSON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(27.72),(51.14),(1:15.48),27.72,23.42,24.34
0,RACE 7 (489),Class 3 - 1200M - (80-60),JOHNSTON HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.46),(46.16),(1:09.87),23.46,22.70,23.71
0,RACE 8 (490),Class 3 - 1800M - (80-60),QUEENSWAY HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.37),(36.30),(1:00.92),13.37,22.93,24.62
0,RACE 1 (472),Class 5 - 1400M - (40-0),YI O HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(13.53),(35.81),(59.15),13.53,22.28,23.34
0,RACE 2 (473),Class 4 - 1200M - (60-35),TAI O HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.54),(46.05),(1:09.47),23.54,22.51,23.42
0,RACE 3 (474),Class 4 - 1400M - (60-40),TUNG CHUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.57),(35.47),(59.06),13.57,21.90,23.59
0,RACE 3 (474),Class 4 - 1400M - (60-40),TUNG CHUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.57),(35.47),(59.06),13.57,21.90,23.59
0,RACE 5 (476),Class 4 - 1200M - (60-40),SIU HO WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(24.13),(46.59),(1:09.83),24.13,22.46,23.24
0,RACE 6 (477),Class 4 - 1400M - (60-40),TUNG CHUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.60),(36.00),(59.07),13.60,22.40,23.07
0,RACE 7 (478),Class 3 - 1200M - (80-60),SHA LO WAN HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(23.37),(46.15),(1:09.03),23.37,22.78,22.88
0,RACE 8 (479),Class 3 - 1600M - (80-60),TONG FUK HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(24.35),(47.45),(1:11.74),24.35,23.10,24.29
0,RACE 9 (480),Class 2 - 1800M - (105-80),MUI WO HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C"" Course",(14.41),(37.26),(1:01.00),14.41,22.85,23.74
0,RACE 10 (481),Class 2 - 1000M - (100-80),FAN LAU HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C"" Course",(13.00),(33.00),(55.11),13.00,20.00,22.11
0,RACE 11 (482),Class 3 - 1200M - (80-60),NGONG PING HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.99),(46.66),(1:09.21),23.99,22.67,22.55
0,RACE 1 (464),Class 5 - 1000M - (40-0),MA TAU WAI HANDICAP,"HK$ 725,000",GOOD,"TURF - ""B"" Course",(12.85),(34.55),(57.96),12.85,21.70,23.41
0,RACE 2 (465),Class 4 - 1800M - (60-40),KOWLOON TONG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(13.64),(36.70),(1:00.27),13.64,23.06,23.57
0,RACE 3 (466),Class 4 - 1200M - (60-40),TO KWA WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.43),(46.39),(1:10.31),23.43,22.96,23.92
0,RACE 4 (467),Class 4 - 1650M - (60-40),MA TAU KOK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(27.72),(51.11),(1:16.13),27.72,23.39,25.02
0,RACE 5 (468),Class 4 - 1200M - (60-40),TO KWA WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.90),(47.07),(1:11.01),23.90,23.17,23.94
0,RACE 6 (469),Class 3 - 1650M - (80-60),SAN PO KONG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(27.83),(51.00),(1:15.55),27.83,23.17,24.55
0,RACE 7 (470),Class 3 - 1650M - (80-60),SAN PO KONG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(28.52),(52.12),(1:16.63),28.52,23.60,24.51
0,RACE 8 (471),Class 3 - 1200M - (80-60),KOWLOON CITY HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(23.28),(45.74),(1:09.66),23.28,22.46,23.92
0,RACE 1 (454),Class 4 - 1000M - (60-40),LEI MUK SHUE HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(13.46),(33.83),(56.29),13.46,20.37,22.46
0,RACE 2 (455),Class 5 - 1600M - (40-0),TAI WO HAU HANDICAP,"HK$ 725,000",GOOD,"TURF - ""B+2"" Course",(24.73),(47.37),(1:10.88),24.73,22.64,23.51
0,RACE 3 (456),Class 4 - 1400M - (60-40),SHEK WAI KOK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(13.43),(35.13),(58.56),13.43,21.70,23.43
0,RACE 4 (457),Class 4 - 1200M - (60-40),SHEK LEI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(24.02),(46.44),(1:09.44),24.02,22.42,23.00
0,RACE 5 (458),Class 4 - 1600M - (60-40),SHEK YAM HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(24.51),(48.29),(1:11.89),24.51,23.78,23.60
0,RACE 6 (459),Class 3 - 1000M - (80-60),KWAI FONG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(13.15),(33.60),(56.20),13.15,20.45,22.60
0,RACE 7 (460),Class 3 - 1400M - (80-60),LAI KING HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(13.46),(35.16),(58.84),13.46,21.70,23.68
0,RACE 8 (461),Class 3 - 1200M - (80-60),KWAI SHING HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(24.29),(46.13),(1:09.02),24.29,21.84,22.89
0,RACE 9 (462),Class 3 - 1400M - (80-60),LAI KING HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(13.60),(35.36),(58.34),13.60,21.76,22.98
0,RACE 10 (463),Class 2 - 1400M - (100-80),CHEUNG SHAN HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""B+2"" Course",(13.45),(35.10),(57.60),13.45,21.65,22.50
0,RACE 1 (445),Class 5 - 1800M - (40-0),YUK SAU HANDICAP,"HK$ 725,000",GOOD,"TURF - ""A"" Course",(13.51),(35.82),(59.97),13.51,22.31,24.15
0,RACE 2 (446),Class 4 - 1200M - (60-40),WANG TAK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.70),(46.37),(1:09.57),23.70,22.67,23.20
0,RACE 3 (447),Class 4 - 1650M - (60-40),YIK YAM HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(27.72),(51.53),(1:16.33),27.72,23.81,24.80
0,RACE 4 (448),Class 4 - 1000M - (60-40),VILLAGE HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(12.65),(33.90),(56.86),12.65,21.25,22.96
0,RACE 5 (449),Class 1 - 1650M - (110-85),SHAN KWONG HANDICAP,"HK$ 2,800,000",GOOD,"TURF - ""A"" Course",(28.19),(52.53),(1:15.76),28.19,24.34,23.23
0,RACE 6 (450),Class 3 - 2200M - (80-60),TSUI MAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(14.38),(38.06),(1:02.55),14.38,23.68,24.49
0,RACE 7 (451),Class 1 - 1200M - (110-85),BLUE POOL HANDICAP,"HK$ 2,800,000",GOOD,"TURF - ""A"" Course",(23.56),(46.04),(1:09.24),23.56,22.48,23.20
0,RACE 8 (452),Class 3 - 1650M - (85-60),SING WOO HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(27.92),(51.74),(1:15.77),27.92,23.82,24.03
0,RACE 9 (453),Class 3 - 1200M - (85-60),KING KWONG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.54),(45.85),(1:09.18),23.54,22.31,23.33
0,RACE 1 (435),Class 5 - 1200M - (40-0),WO CHE HANDICAP,"HK$ 725,000",GOOD,"TURF - ""A+3"" Course",(23.49),(45.60),(1:09.24),23.49,22.11,23.64
0,RACE 2 (436),Class 4 - 1400M - (60-40),SUN CHUI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A+3"" Course",(13.45),(35.67),(58.91),13.45,22.22,23.24
0,RACE 3 (437),Class 4 - 1200M - (60-40),SHUI CHUEN O HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A+3"" Course",(23.59),(46.44),(1:09.69),23.59,22.85,23.25
0,RACE 4 (438),Class 4 - 2000M - (60-40),SUN TIN WAI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A+3"" Course",(25.76),(49.85),(1:14.41),25.76,24.09,24.56
0,RACE 5 (439),Class 3 - 1200M - (80-60),LUNG HANG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A+3"" Course",(23.99),(46.47),(1:09.70),23.99,22.48,23.23
0,RACE 6 (440),Class 4 - 1400M - (60-40),SUN CHUI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A+3"" Course",(13.35),(35.36),(58.59),13.35,22.01,23.23
0,RACE 7 (441),4 Year Olds - 1800M,THE HONG KONG CLASSIC CUP,"HK$ 10,000,000",GOOD,"TURF - ""A+3"" Course",(13.82),(36.38),(59.78),13.82,22.56,23.40
0,RACE 8 (442),Class 2 - 2000M - (100-80),LEK YUEN HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A+3"" Course",(26.10),(49.59),(1:14.08),26.10,23.49,24.49
0,RACE 9 (443),Class 3 - 1400M - (80-60),MEI LAM HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A+3"" Course",(13.48),(35.12),(58.55),13.48,21.64,23.43
0,RACE 10 (444),Class 3 - 1600M - (80-60),SHEK MUN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A+3"" Course",(24.23),(46.57),(1:10.78),24.23,22.34,24.21
0,RACE 1 (427),Class 5 - 1200M - (40-0),TSEUNG KWAN O HANDICAP,"HK$ 725,000",GOOD,ALL WEATHER TRACK,(23.37),(45.60),(1:09.64),23.37,22.23,24.04
0,RACE 2 (428),Class 5 - 1650M - (40-0),YAU TONG HANDICAP,"HK$ 725,000",GOOD,ALL WEATHER TRACK,(28.08),(51.90),(1:15.85),28.08,23.82,23.95
0,RACE 3 (429),Class 4 - 1200M - (60-40),PO LAM HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.48),(45.74),(1:09.99),23.48,22.26,24.25
0,RACE 4 (430),Class 4 - 1200M - (60-40),PO LAM HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.49),(45.85),(1:09.20),23.49,22.36,23.35
0,RACE 5 (431),Class 4 - 1650M - (60-40),TIU KENG LENG HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(27.80),(51.09),(1:15.33),27.80,23.29,24.24
0,RACE 6 (432),Class 3 - 1200M - (80-60),HANG HAU HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(23.10),(44.96),(1:08.35),23.10,21.86,23.39
0,RACE 7 (433),Class 3 - 1800M - (80-60),LAM TIN HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(13.53),(36.12),(1:00.32),13.53,22.59,24.20
0,RACE 8 (434),Class 2 - 1200M - (105-80),CHA KWO LING HANDICAP,"HK$ 2,100,000",GOOD,ALL WEATHER TRACK,(22.93),(44.79),(1:07.79),22.93,21.86,23.00
0,RACE 1 (417),Class 4 - 1200M - (60-40),CITI MOBILE BANKING HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.16),(46.97),(1:10.13),24.16,22.81,23.16
0,RACE 2 (418),Class 4 - 1200M - (60-40),CITI PRIORITY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.79),(46.36),(1:10.00),23.79,22.57,23.64
0,RACE 3 (419),Class 4 - 1600M - (60-40),CITIGOLD HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.73),(47.74),(1:11.98),24.73,23.01,24.24
0,RACE 4 (420),Class 4 - 1400M - (60-40),CITIGOLD PRIVATE CLIENT HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(13.57),(34.72),(58.32),13.57,21.15,23.60
0,RACE 4 (420),Class 4 - 1400M - (60-40),CITIGOLD PRIVATE CLIENT HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(13.57),(34.72),(58.32),13.57,21.15,23.60
0,RACE 6 (422),Class 3 - 1400M - (80-60),CITI ULTIMA CARD HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(13.57),(35.63),(59.17),13.57,22.06,23.54
0,RACE 7 (423),Group One - 1400M,THE QUEEN'S SILVER JUBILEE CUP,"HK$ 10,000,000",GOOD,"TURF - ""A"" Course",(13.40),(35.58),(58.93),13.40,22.18,23.35
0,RACE 8 (424),Class 3 - 1200M - (80-60),CITI WEALTH MANAGEMENT SERVICES HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(24.18),(47.44),(1:10.03),24.18,23.26,22.59
0,RACE 9 (425),Class 3 - 1200M - (80-60),CITI INSURANCE SERVICES HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.37),(45.83),(1:09.77),23.37,22.46,23.94
0,RACE 10 (426),Class 2 - 1400M - (100-80),CITI MORTGAGE SERVICES HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A"" Course",(13.48),(34.95),(57.63),13.48,21.47,22.68
0,RACE 1 (409),Class 4 - 1200M - (60-40),SAI KUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.81),(46.63),(1:09.73),23.81,22.82,23.10
0,RACE 2 (410),Class 4 - 1650M - (60-40),TAI PO HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(28.67),(53.05),(1:16.48),28.67,24.38,23.43
0,RACE 3 (411),Class 4 - 1200M - (60-40),SAI KUNG HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.99),(46.41),(1:09.22),23.99,22.42,22.81
0,RACE 4 (412),Class 4 - 1800M - (60-40),TSUEN WAN HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.70),(36.74),(1:00.58),13.70,23.04,23.84
0,RACE 5 (413),Class 3 - 1000M - (85-60),FANLING HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(12.42),(33.50),(56.11),12.42,21.08,22.61
0,RACE 6 (414),Class 3 - 1650M - (80-60),KWAI CHUNG HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(28.05),(52.17),(1:16.04),28.05,24.12,23.87
0,RACE 7 (415),Class 3 - 1650M - (80-60),KWAI CHUNG HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(28.47),(52.42),(1:16.72),28.47,23.95,24.30
0,RACE 8 (416),Class 3 - 1200M - (80-60),FO TAN HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.34),(45.76),(1:09.14),23.34,22.42,23.38
0,RACE 1 (399),Class 4 - 1000M - (60-40),LOK WAH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(13.32),(34.18),(57.18),13.32,20.86,23.00
0,RACE 2 (400),Class 5 - 1800M - (40-0),WANG TAU HOM HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C+3"" Course",(14.09),(36.34),(1:00.94),14.09,22.25,24.60
0,RACE 3 (401),Class 4 - 1200M - (60-40),NGAU TAU KOK HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.62),(46.13),(1:09.60),23.62,22.51,23.47
0,RACE 4 (402),Class 4 - 1400M - (60-40),SAU MAU PING HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(13.60),(35.32),(58.97),13.60,21.72,23.65
0,RACE 5 (403),Class 3 - 1800M - (80-60),LOK FU HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(13.67),(35.28),(58.77),13.67,21.61,23.49
0,RACE 6 (404),Class 3 - 1200M - (80-60),KAI YIP HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(23.42),(45.35),(1:09.19),23.42,21.93,23.84
0,RACE 7 (405),Class 2 - 1600M - (105-80),CHOI WAN HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C+3"" Course",(24.52),(47.86),(1:11.17),24.52,23.34,23.31
0,RACE 8 (406),Class 3 - 1400M - (80-60),LEI YUE MUN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(13.17),(34.36),(57.45),13.17,21.19,23.09
0,RACE 9 (407),Class 2 - 1200M - (105-80),CHOI HUNG HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C+3"" Course",(23.78),(46.17),(1:09.02),23.78,22.39,22.85
0,RACE 10 (408),Class 3 - 1400M - (80-60),LEI YUE MUN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(13.59),(34.90),(58.11),13.59,21.31,23.21
0,RACE 1 (391),Class 5 - 1200M - (40-0),BOWRINGTON HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(23.95),(46.56),(1:10.20),23.95,22.61,23.64
0,RACE 2 (392),Class 4 - 1000M - (60-40),CANAL HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(12.87),(34.41),(57.25),12.87,21.54,22.84
0,RACE 3 (393),Class 4 - 1650M - (60-40),THE CRAIGENGOWER CRICKET CLUB CHALLENGE CUP (HANDICAP),"HK$ 967,000",GOOD,"TURF - ""C"" Course",(28.03),(52.18),(1:16.69),28.03,24.15,24.51
0,RACE 4 (394),Class 4 - 1200M - (60-40),PERCIVAL HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.88),(46.66),(1:09.83),23.88,22.78,23.17
0,RACE 5 (395),Class 4 - 1650M - (60-40),WONG NAI CHUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(28.85),(53.56),(1:17.43),28.85,24.71,23.87
0,RACE 6 (396),Class 3 - 1200M - (80-60),SPORTS ROAD HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.62),(46.27),(1:09.58),23.62,22.65,23.31
0,RACE 7 (397),Class 3 - 1650M - (80-60),RUSSELL HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(27.80),(51.25),(1:15.65),27.80,23.45,24.40
0,RACE 8 (398),Class 3 - 1200M - (80-60),SPORTS ROAD HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.81),(46.82),(1:09.50),23.81,23.01,22.68
0,RACE 1 (381),Class 4 - 1200M - (60-40),ORCHID HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(24.26),(46.96),(1:10.28),24.26,22.70,23.32
0,RACE 2 (382),Class 4 - 1200M - (60-40),ORCHID HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(24.48),(47.12),(1:09.90),24.48,22.64,22.78
0,RACE 3 (383),Class 5 - 1400M - (40-0),ROSE HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(13.81),(35.65),(58.82),13.81,21.84,23.17
0,RACE 4 (384),Class 4 - 1400M - (60-40),PEACH BLOSSOM HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.57),(35.32),(58.17),13.57,21.75,22.85
0,RACE 5 (385),Class 3 - 1600M - (80-60),DAISY HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(24.77),(48.44),(1:12.11),24.77,23.67,23.67
0,RACE 6 (386),Class 4 - 1650M - (60-40),PEONY HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(28.31),(51.87),(1:15.91),28.31,23.56,24.04
0,RACE 7 (387),Class 3 - 1650M - (80-60),LILY HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(28.08),(51.82),(1:16.11),28.08,23.74,24.29
0,RACE 8 (388),Class 3 - 1000M - (80-60),CINERARIA HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.20),(33.95),(56.53),13.20,20.75,22.58
0,RACE 9 (389),Class 3 - 1200M - (80-60),DAFFODIL HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(24.41),(47.02),(1:09.47),24.41,22.61,22.45
0,RACE 10 (390),Class 2 - 1800M - (100-80),AZALEA HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C"" Course",(13.92),(36.23),(1:00.24),13.92,22.31,24.01
0,RACE 1 (372),Class 4 - 1200M - (60-40),KENNEDY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.87),(46.54),(1:10.06),23.87,22.67,23.52
0,RACE 2 (373),Class 5 - 1650M - (40-0),MORRISON HILL HANDICAP,"HK$ 725,000",GOOD,"TURF - ""B"" Course",(28.53),(53.65),(1:17.10),28.53,25.12,23.45
0,RACE 3 (374),Class 4 - 1200M - (60-40),KENNEDY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.49),(46.24),(1:09.75),23.49,22.75,23.51
0,RACE 4 (375),Class 4 - 1200M - (60-40),KENNEDY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.24),(46.38),(1:10.00),23.24,23.14,23.62
0,RACE 5 (376),Class 4 - 1800M - (60-40),OI KWAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(13.60),(35.88),(1:00.57),13.60,22.28,24.69
0,RACE 6 (377),Class 3 - 1650M - (80-60),THE VOLUNTEERS' CHALLENGE CUP (HANDICAP),"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(27.77),(51.72),(1:15.70),27.77,23.95,23.98
0,RACE 7 (378),Class 3 - 1200M - (80-60),QUEEN'S ROAD EAST HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(24.23),(47.12),(1:09.75),24.23,22.89,22.63
0,RACE 8 (379),Class 2 - 1200M - (100-80),STUBBS HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""B"" Course",(23.37),(45.41),(1:08.99),23.37,22.04,23.58
0,RACE 9 (380),Class 2 - 1650M - (100-80),TIN LOK HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""B"" Course",(27.85),(51.75),(1:15.79),27.85,23.90,24.04
0,RACE 1 (361),Class 5 - 1200M - (40-0),YUE YEE HANDICAP,"HK$ 725,000",GOOD,"TURF - ""B+2"" Course",(23.84),(46.15),(1:09.73),23.84,22.31,23.58
0,RACE 2 (362),Class 4 - 1000M - (60-40),KUT CHEONG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(13.20),(34.09),(56.79),13.20,20.89,22.70
0,RACE 3 (363),Class 4 - 1400M - (60-40),RED PACKET HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(13.49),(35.42),(59.15),13.49,21.93,23.73
0,RACE 4 (364),Group Three - 1800M,THE CENTENARY VASE (HANDICAP),"HK$ 3,250,000",GOOD,"TURF - ""B+2"" Course",(14.15),(36.21),(59.58),14.15,22.06,23.37
0,RACE 5 (365),Class 4 - 1200M - (60-40),PROSPERITY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(24.12),(46.99),(1:09.37),24.12,22.87,22.38
0,RACE 6 (366),Class 4 - 1400M - (60-40),RED PACKET HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B+2"" Course",(13.71),(35.02),(58.70),13.71,21.31,23.68
0,RACE 7 (367),Class 3 - 2000M - (80-60),KUNG HEI HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(25.60),(49.30),(1:13.37),25.60,23.70,24.07
0,RACE 8 (368),4 Year Olds - 1600M,THE HONG KONG CLASSIC MILE,"HK$ 10,000,000",GOOD,"TURF - ""B+2"" Course",(24.48),(47.91),(1:10.81),24.48,23.43,22.90
0,RACE 9 (369),Class 3 - 1400M - (85-60),GOOD FORTUNE HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(13.60),(35.99),(59.34),13.60,22.39,23.35
0,RACE 10 (370),Class 1 - 1400M - (110-85),THE CHINESE NEW YEAR CUP (HANDICAP),"HK$ 2,800,000",GOOD,"TURF - ""B+2"" Course",(13.64),(35.68),(58.71),13.64,22.04,23.03
0,RACE 11 (371),Class 3 - 1200M - (80-60),FAT CHOI HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B+2"" Course",(23.48),(45.79),(1:09.06),23.48,22.31,23.27
0,RACE 1 (352),Class 5 - 2200M - (40-0),YUE MAN HANDICAP,"HK$ 725,000",GOOD,"TURF - ""A"" Course",(14.63),(38.73),(1:04.56),14.63,24.10,25.83
0,RACE 2 (353),Class 4 - 1200M - (60-40),SHING YIP HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.62),(46.01),(1:09.72),23.62,22.39,23.71
0,RACE 3 (354),Class 4 - 1200M - (60-40),SHING YIP HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.65),(46.46),(1:10.07),23.65,22.81,23.61
0,RACE 4 (355),Class 4 - 1650M - (60-40),WAI YIP HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(27.66),(51.90),(1:15.99),27.66,24.24,24.09
0,RACE 5 (356),Class 4 - 1000M - (60-40),MUT WAH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(12.75),(34.01),(57.24),12.75,21.26,23.23
0,RACE 6 (357),Class 4 - 1650M - (60-40),WAI YIP HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(28.44),(53.03),(1:17.40),28.44,24.59,24.37
0,RACE 7 (358),Class 3 - 1650M - (80-60),HUNG TO HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(28.61),(53.09),(1:16.88),28.61,24.48,23.79
0,RACE 8 (359),Class 3 - 1200M - (80-60),HOI YUEN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.15),(45.60),(1:09.11),23.15,22.45,23.51
0,RACE 9 (360),Class 3 - 1200M - (80-60),HOI YUEN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.45),(45.45),(1:09.46),23.45,22.00,24.01
0,RACE 1 (342),Class 4 - 2000M - (60-40),HELENE PARAGON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A+3"" Course",(26.60),(50.86),(1:14.54),26.60,24.26,23.68
